Time         Value
1452060168010        762
1452060168110        702
1452060168211        753
1452060168311        748
1452060168411        746
1452060168512        756
1452060168612        757
1452060168713        763
1452060168814        754
1452060168914        734
1452060169014        728
1452060169115        724
1452060169215        706
1452060169316        742
1452060169416        733
1452060169517        778
1452060169618        755
1452060169718        762
1452060169818        725
1452060169918        758
1452060170018        731
1452060170118        737
1452060170219        752
1452060170319        733
1452060170419        716
1452060170519        707
1452060170619        738
1452060170720        753
1452060170820        743
1452060170921        731
1452060171021        726
1452060171121        751
1452060171222        733
1452060171322        748
1452060171422        749
1452060171522        719
1452060171622        718
1452060171722        746
1452060171823        710
1452060171923        785
1452060172023        744
1452060172123        717
1452060172224        740
1452060172324        749
1452060172424        747
1452060172525        766
1452060172625        766
1452060172725        723
1452060172826        752
1452060172927        737
1452060173027        719
1452060173127        778
1452060173227        737
1452060173327        779
1452060173427        750
1452060173527        712
1452060173628        750
1452060173728        778
1452060173828        712
1452060173928        742
1452060174029        818
1452060174129        802
1452060174229        825
1452060174329        767
1452060174429        728
1452060174529        736
1452060174630        819
1452060174730        776
1452060174831        769
1452060174932        762
1452060175033        770
1452060175133        742
1452060175233        780
1452060175334        717
1452060175434        728
1452060175534        719
1452060175634        714
1452060175734        782
1452060175834        769
1452060175934        755
1452060176035        780
1452060176136        735
1452060176236        745
1452060176337        712
1452060176437        766
1452060176537        770
1452060176637        756
1452060176737        714
1452060176838        740
1452060176938        752
1452060177038        819
1452060177138        731
1452060177238        737
1452060177338        781
1452060177439        727
1452060177539        760
1452060177639        758
1452060177739        710
1452060177839        756
1452060177939        794
1452060178039        761
1452060178139        791
1452060178239        776
1452060178339        726
1452060178439        749
1452060178539        793
1452060178639        753
1452060178740        762
1452060178840        765
1452060178940        789
1452060179040        776
1452060179141        767
1452060179242        768
1452060179343        793
1452060179444        786
1452060179545        789
1452060179645        800
1452060179745        782
1452060179845        756
1452060179945        770
1452060180045        752
1452060180145        759
1452060180245        755
1452060180346        735
1452060180446        795
1452060180546        759
1452060180646        733
1452060180746        747
1452060180847        747
1452060180948        742
1452060181048        776
1452060181148        757
1452060181248        750
1452060181349        764
1452060181448        752
1452060181548        724
1452060181648        718
1452060181748        777
1452060181848        784
1452060181949        793
1452060182050        760
1452060182151        727
1452060182251        747
1452060182351        728
1452060182451        751
1452060182552        765
1452060182653        772
1452060182753        751
1452060182853        773
1452060182953        727
1452060183053        778
1452060183153        767
1452060183253        747
1452060183353        749
1452060183453        762
1452060183553        786
1452060183653        737
1452060183753        777
1452060183853        751
1452060183953        715
1452060184053        733
1452060184153        745
1452060184253        742
1452060184354        744
1452060184455        780
1452060184556        769
1452060184657        767
1452060184757        823
1452060184857        777
1452060184957        770
1452060185057        780
1452060185157        747
1452060185257        707
1452060185357        752
1452060185457        741
1452060185557        715
