Time         Value
1452060168010        5220.59
1452060168110        4151.63
1452060168211        4653.91
1452060168311        4340.8
1452060168411        4334.45
1452060168512        4145.23
1452060168612        4369.53
1452060168713        4053.18
1452060168814        4174.84
1452060168914        3927.82
1452060169014        4426.9
1452060169115        4034
1452060169215        4121.61
1452060169316        4241.61
1452060169416        4139.89
1452060169517        4396.15
1452060169618        4106.07
1452060169718        4256.4
1452060169818        4340.44
1452060169918        4324.13
1452060170018        4344.23
1452060170118        4596.37
1452060170219        4148.58
1452060170319        4290.32
1452060170419        4167.54
1452060170519        4347
1452060170619        4542.57
1452060170720        4284.03
1452060170821        4397.4
1452060170921        4149.56
1452060171021        4128.27
1452060171121        4367.6
1452060171222        4609.66
1452060171322        4288.66
1452060171422        4160.94
1452060171522        4252
1452060171622        4053.72
1452060171722        4180.66
1452060171823        4221.05
1452060171923        4063.2
1452060172023        4288.85
1452060172123        4089.23
1452060172224        4124.46
1452060172324        4189.8
1452060172424        4403.32
1452060172525        4621.64
1452060172625        4377.31
1452060172725        4776.1
1452060172826        4128.9
1452060172927        4462.15
1452060173027        4165.99
1452060173128        4885.65
1452060173227        4931.3
1452060173327        4231.77
1452060173427        4240.22
1452060173527        4363.26
1452060173628        4296.39
1452060173729        4255.88
1452060173828        4480.86
1452060173928        4427.91
1452060174029        4031.39
1452060174129        4135.54
1452060174229        4131.75
1452060174329        4240.58
1452060174429        4480.78
1452060174529        4403.48
1452060174630        3952.94
1452060174730        4062.2
1452060174831        4440.96
1452060174932        4860.28
1452060175033        4138.64
1452060175133        4331.63
1452060175234        4210.03
1452060175334        4344.76
1452060175434        4381.68
1452060175534        4439.45
1452060175634        4429.96
1452060175734        4413.39
1452060175834        4146.33
1452060175934        4118.54
1452060176035        4071.9
1452060176136        4703.24
1452060176236        4093.99
1452060176337        4439.35
1452060176437        4531.54
1452060176537        4494.9
1452060176637        4453.2
1452060176737        4418.11
1452060176838        4065.27
1452060176938        4294.12
1452060177038        3958.71
1452060177138        4229.41
1452060177238        3900.01
1452060177339        3965.33
1452060177439        4483.31
1452060177539        4263.59
1452060177639        4245.06
1452060177739        4256.02
1452060177839        4052.65
1452060177939        4101.81
1452060178039        4253.2
1452060178139        4179.45
1452060178239        4276.16
1452060178339        4257.7
1452060178440        4193.77
1452060178539        4174.71
1452060178639        4312.18
1452060178740        3879.35
1452060178841        4246.02
1452060178940        4252.83
1452060179040        4106.61
1452060179141        4906.08
1452060179242        4447.55
1452060179343        4961.21
1452060179444        4640.8
1452060179545        4465.55
1452060179645        4635.9
1452060179745        4684.51
1452060179845        4866.27
1452060179945        5352
1452060180045        5256.55
1452060180145        5400.28
1452060180245        5246.85
1452060180346        4639.59
1452060180446        4589.44
1452060180546        3937.08
1452060180646        4251.96
1452060180746        4361.49
1452060180847        4317.23
1452060180948        4170.08
1452060181048        4089.77
1452060181148        4548.71
1452060181248        4552.26
1452060181349        4935.08
1452060181448        4773.71
1452060181548        4432.11
1452060181648        4785.56
1452060181748        4542.51
1452060181848        4532.9
1452060181949        4542.04
1452060182050        4712.71
1452060182151        4886.72
1452060182251        4811.44
1452060182351        4766.65
1452060182451        4814
1452060182552        4451.24
1452060182653        4875.35
1452060182753        4488.02
1452060182853        4572.89
1452060182953        4873.7
1452060183053        4615.05
1452060183153        4516.54
1452060183253        4859.27
1452060183353        4909.81
1452060183453        4252.7
1452060183553        4009.92
1452060183653        4298.61
1452060183753        4188.85
1452060183853        4180.97
1452060183953        4132.19
1452060184053        4259.35
1452060184153        3803.1
1452060184253        4114.1
1452060184354        4320.47
1452060184455        4425.19
1452060184556        4065.8
1452060184657        4149.06
1452060184757        3967.93
1452060184857        4124.71
1452060184957        4209.18
1452060185057        4245.09
1452060185157        4469.18
1452060185257        4678.56
1452060185357        4344.64
1452060185457        4230.73
1452060185557        4243.68
